Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
memo_game_lose_a28658ea	centered	{size=80}No quiero seguir pensando en el pasado{/size}	game/memoria.rpy	136	centered "[what]"
memo_game_win_d3c04eac	centered	{size=80}{b}Al menos hay algunas cosas \n positivas entre mis recuerdos{/b}{/size}	game/memoria.rpy	143	centered "[what]"
finddd_9908c299	centered	{size=+24}	game/mini_finder.rpy	33	centered "[what]"
finddd_c235e947	centered	{size=+100}¡Ufff, a correr!	game/mini_finder.rpy	43	centered "[what]"
finddd_15df2d55	centered	{size=+100}¿Dónde está todo?\nMe faltaron [hf_return] cosas.	game/mini_finder.rpy	46	centered "[what]"
p1_a1_1c14dd90		Cuando tierno uno cree que la vida son puras rosas, pero cuando va creciendo y viviendo, entiende que sólo son puras espinas. 	game/p1_a1.rpy	4	"[what]"
p1_a1_431f4e6c	car	(Cuando llegué al uso de razón mataron a don Raúl. Nunca lo olvidaré.)	game/p1_a1.rpy	6	car "[what]"
p1_a1_9b13916f		*sonido de disparo*	game/p1_a1.rpy	7	"[what]"
p1_a1_d399c291	car	(Yo había hecho ese día por la mañana mi primera comunión, y a pesar de que mi vestido blanco con azahares era alquilado, no me lo había dejado quitar.)	game/p1_a1.rpy	18	car "[what]"
p1_a1_295e402b	car	(Yo me sentía como un alma pura con ese vestido, tal como el padre Aniceto nos lo había explicado una y otra vez durante los cuarenta días de cuaresma,	game/p1_a1.rpy	19	car "[what]"
p1_a1_97900b6b	car	Que fueron los de la preparación para recibir en mi alma el cuerpo de Jesús.)	game/p1_a1.rpy	20	car "[what]"
p1_a1_b0462271	papa	Que bendición, que pude traer musicos desde Chaparral	game/p1_a1.rpy	34	papa "[what]"
p1_a1_333be056		*se escucha musica alegre*	game/p1_a1.rpy	37	"[what]"
p1_a1_7505308d	raul	Mire mijita, aqui le traje algo	game/p1_a1.rpy	39	raul "[what]"
p1_a1_fb6ce9ca	car	(Él estaba dándome un regalo, un libro llamado La imitación de Cristo, de Kempis, del que nunca leí más que el título porque tenía una letra apretada.)	game/p1_a1.rpy	40	car "[what]"
p1_a1_5caa90e4		*sonidos de gente corriendo*	game/p1_a1.rpy	43	"[what]"
p1_a1_8361662d	raul	No me mat..	game/p1_a1.rpy	45	raul "[what]"
p1_a1_9b13916f_1		*sonido de disparo*	game/p1_a1.rpy	47	"[what]"
p1_a1_972c075c	car	(Entraron unos hombres armados y le dispararon a don Raúl)	game/p1_a1.rpy	51	car "[what]"
p1_a1_5164e9e2	car	(El tiro le estalló en la cara y su sangre me saltó encima como un animal asustado y me manchó todo el vestido con había recibido al niño Jesús.)	game/p1_a1.rpy	52	car "[what]"
p1_a1_8b672ed7	car	(Una sangre caliente y olorosa a cobre, que aún no me he podido quitar de encima.)	game/p1_a1.rpy	53	car "[what]"
p1_a1_98499249	car	( Los ojos le quedaron disparados en sentidos opuestos, como si hubiera querido buscar a los asesinos y entre tanta gente no hubiera acertado a saber quiénes eran.)	game/p1_a1.rpy	54	car "[what]"
p1_a2_a20cefa7		...	game/p1_a2.rpy	2	"[what]"
p1_a2_80a27436		se escuchan mujeres y niños llorar	game/p1_a2.rpy	12	"[what]"
p1_a2_112c7cc2	car	( En el entierro lo lloraron cinco mujeres diferentes, con los hijos que le había hecho a cada una)	game/p1_a2.rpy	13	car "[what]"
p1_a2_41a166eb	car	(Gritaban como peleándose el muerto, como revelando secretos, sabiendo todas que él para ninguna fue buen marido.)	game/p1_a2.rpy	14	car "[what]"
